"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 01 16:25:38 IST 2025","Wed Jan 01 16:25:39 IST 2025","677","chromium","AddToCart.spec.js","","","","@Web Client App login",""
"passed","Wed Jan 01 19:50:23 IST 2025","Wed Jan 01 19:50:31 IST 2025","7410","smoke","Login Suite","Login Test Suite","","","Login Test-1",""
"passed","Wed Jan 01 19:50:23 IST 2025","Wed Jan 01 19:50:31 IST 2025","8090","smoke","Login Suite","Login Test Suite","","","Login Test Valid",""
"passed","Wed Jan 01 19:13:29 IST 2025","Wed Jan 01 19:13:35 IST 2025","5115","chromium","Card Suite","","","","has title",""
"passed","Wed Jan 01 16:46:01 IST 2025","Wed Jan 01 16:46:05 IST 2025","3847","chromium","LoginTest.spec.js","Login Test Suite","","","Login Test",""
"passed","Wed Jan 01 19:13:29 IST 2025","Wed Jan 01 19:13:30 IST 2025","287","chromium","SignIn.spec.js","signing in with a password","","","sign in with a valid password","The test checks if an active user with a valid password can sign in to the app."
"passed","Wed Jan 01 19:13:29 IST 2025","Wed Jan 01 19:13:39 IST 2025","10006","chromium","Login Suite","Login Test Suite","","","Login Test Valid",""
"passed","Wed Jan 01 19:13:29 IST 2025","Wed Jan 01 19:13:35 IST 2025","5463","chromium","Card Suite","","","","get started link",""
"passed","Wed Jan 01 19:13:30 IST 2025","Wed Jan 01 19:13:45 IST 2025","15392","chromium","Cart Suite","@Web Client App Add To Cart Suite","","","Add to Cart",""
"passed","Wed Jan 01 19:50:23 IST 2025","Wed Jan 01 19:50:23 IST 2025","313","smoke","smoke\SignIn.spec.js","signing in with a password","","","sign in with a valid password","The test checks if an active user with a valid password can sign in to the app."
"passed","Wed Jan 01 19:45:28 IST 2025","Wed Jan 01 19:45:31 IST 2025","2887","regression","Card Suite","","","","has title",""
"passed","Wed Jan 01 19:45:28 IST 2025","Wed Jan 01 19:45:38 IST 2025","9485","regression","Cart Suite","@Web Client App Add To Cart Suite","","","Add to Cart",""
"passed","Wed Jan 01 19:13:29 IST 2025","Wed Jan 01 19:13:39 IST 2025","9505","chromium","Login Suite","Login Test Suite","","","Login Test",""
"passed","Wed Jan 01 19:45:28 IST 2025","Wed Jan 01 19:45:31 IST 2025","3353","regression","Card Suite","","","","get started link",""
